Week,Churrasco,Easter,Carnaval,Republic
5/20/2018,35,0,0,0
5/27/2018,44,0,0,0
6/3/2018,37,0,0,0
6/10/2018,39,0,0,0
6/17/2018,47,0,0,0
6/24/2018,46,0,0,0
7/1/2018,52,0,0,0
7/8/2018,46,0,0,0
7/15/2018,52,0,0,0
7/22/2018,45,0,0,0
7/29/2018,46,0,0,0
8/5/2018,49,0,0,0
8/12/2018,45,0,0,0
8/19/2018,41,0,0,0
8/26/2018,43,0,0,0
9/2/2018,49,0,0,0
9/9/2018,43,0,0,0
9/16/2018,44,0,0,0
9/23/2018,43,0,0,0
9/30/2018,41,0,0,0
10/7/2018,41,0,0,0
10/14/2018,42,0,0,0
10/21/2018,40,0,0,0
10/28/2018,47,0,0,0
11/4/2018,45,0,0,0
11/11/2018,58,0,0,1
11/18/2018,47,0,0,0
11/25/2018,49,0,0,0
12/2/2018,55,0,0,0
12/9/2018,63,0,0,0
12/16/2018,56,0,0,0
12/23/2018,79,0,0,0
12/30/2018,72,0,0,0
1/6/2019,44,0,0,0
1/13/2019,44,0,0,0
1/20/2019,44,0,0,0
1/27/2019,47,0,0,0
2/3/2019,42,0,0,0
2/10/2019,41,0,0,0
2/17/2019,47,0,0,0
2/24/2019,44,0,0,0
3/3/2019,52,0,1,0
3/10/2019,42,0,0,0
3/17/2019,46,0,0,0
3/24/2019,47,1,0,0
3/31/2019,44,0,0,0
4/7/2019,40,0,0,0
4/14/2019,44,0,0,0
4/21/2019,42,0,0,0
4/28/2019,49,0,0,0
5/5/2019,45,0,0,0
5/12/2019,45,0,0,0
5/19/2019,43,0,0,0
5/26/2019,48,0,0,0
6/2/2019,45,0,0,0
6/9/2019,44,0,0,0
6/16/2019,49,0,0,0
6/23/2019,41,0,0,0
6/30/2019,44,0,0,0
7/7/2019,45,0,0,0
7/14/2019,48,0,0,0
7/21/2019,43,0,0,0
7/28/2019,47,0,0,0
8/4/2019,55,0,0,0
8/11/2019,54,0,0,0
8/18/2019,45,0,0,0
8/25/2019,49,0,0,0
9/1/2019,46,0,0,0
9/8/2019,47,0,0,0
9/15/2019,49,0,0,0
9/22/2019,46,0,0,0
9/29/2019,48,0,0,0
10/6/2019,49,0,0,0
10/13/2019,48,0,0,0
