"x"
53918.6707593041
53872.6112512314
53849.1827352447
53936.5839485186
54002.7007212705
53994.6383181787
54012.0268731587
54017.3346904046
53965.4626439895
53936.6826067539
54021.2581670426
54081.0625984893
54063.9510585491
54075.1770928752
54074.0155184861
54011.4205953309
53972.7247584937
54049.9242889771
54099.325250172
54069.8084116466
54071.8331571868
54061.5340976597
53986.426074241
53936.7279991542
54005.8435338114
54044.9061037159
54004.0202206882
53998.4136566754
53981.104464115
53896.5849295352
53839.7260899958
53904.9937490564
53938.6716074663
53892.1961084186
53885.0945929879
53867.2534548845
53780.4696077197
53723.9774405834
53792.945831129
53829.0729996316
53785.1672298568
53784.5779357671
