"ds","trend","Christmas","Christmas_lower","Christmas_upper","Easter","Easter_lower","Easter_upper","holidays","holidays_lower","holidays_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","Thanksgiving","Thanksgiving_lower","Thanksgiving_upper","weekly","weekly_lower","weekly_upper","yearly","yearly_lower","yearly_upper","additive_terms","additive_terms_lower","additive_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
2013-09-03,49596.4115654883,0,0,0,0,0,0,0,0,0,-0.00329334999796823,-0.00329334999796823,-0.00329334999796823,0,0,0,0.000139732835891473,0.000139732835891473,0.000139732835891473,-0.0034330828338597,-0.0034330828338597,-0.0034330828338597,0,0,0,48687.3339213341,50171.6299630143,49596.4115654883,49596.4115654883,49433.0732235598
2013-09-04,49612.4779953428,0,0,0,0,0,0,0,0,0,-0.00244113497067808,-0.00244113497067808,-0.00244113497067808,0,0,0,0.000631826683433587,0.000631826683433587,0.000631826683433587,-0.00307296165411167,-0.00307296165411167,-0.00307296165411167,0,0,0,48700.193034039,50231.0513918797,49612.4779953428,49612.4779953428,49491.3672403264
2013-09-05,49628.5444251973,0,0,0,0,0,0,0,0,0,-0.00209287132668235,-0.00209287132668235,-0.00209287132668235,0,0,0,0.000625486503718994,0.000625486503718994,0.000625486503718994,-0.00271835783040134,-0.00271835783040134,-0.00271835783040134,0,0,0,48768.5748129444,50287.1939857337,49628.5444251973,49628.5444251973,49524.6782675848
2013-09-06,49644.6108550518,0,0,0,0,0,0,0,0,0,-0.00324073320426091,-0.00324073320426091,-0.00324073320426091,0,0,0,-0.000871513485839946,-0.000871513485839946,-0.000871513485839946,-0.00236921971842097,-0.00236921971842097,-0.00236921971842097,0,0,0,48689.8836633043,50236.1609121897,49644.6108550518,49644.6108550518,49483.7259162413
2013-09-07,49660.6772849063,0,0,0,0,0,0,0,0,0,-0.00355425446489953,-0.00355425446489953,-0.00355425446489953,0,0,0,-0.00152884732614235,-0.00152884732614235,-0.00152884732614235,-0.00202540713875718,-0.00202540713875718,-0.00202540713875718,0,0,0,48748.1760810304,50297.2485636082,49660.6772849063,49660.6772849063,49484.1706009365
2013-09-08,49676.7437147609,0,0,0,0,0,0,0,0,0,-0.00145988559885427,-0.00145988559885427,-0.00145988559885427,0,0,0,0.000226826226657103,0.000226826226657103,0.000226826226657103,-0.00168671182551137,-0.00168671182551137,-0.00168671182551137,0,0,0,48813.2066945945,50357.6659330676,49676.7437147609,49676.7437147609,49604.2213520137
2013-09-09,49692.8101446154,0,0,0,0,0,0,0,0,0,-0.000576390974792315,-0.000576390974792315,-0.000576390974792315,0,0,0,0.000776488562278334,0.000776488562278334,0.000776488562278334,-0.00135287953707065,-0.00135287953707065,-0.00135287953707065,0,0,0,48844.4627458845,50426.7736823512,49692.8101446154,49692.8101446154,49664.167657336
2013-09-10,49708.8765744699,0,0,0,0,0,0,0,0,0,-0.000883900169842943,-0.000883900169842943,-0.000883900169842943,0,0,0,0.00013973283589114,0.00013973283589114,0.00013973283589114,-0.00102363300573408,-0.00102363300573408,-0.00102363300573408,0,0,0,48863.920100584,50411.8623073382,49708.8765744699,49708.8765744699,49664.938890023
2013-09-11,49724.9430043244,0,0,0,0,0,0,0,0,0,-6.68682028828159e-05,-6.68682028828159e-05,-6.68682028828159e-05,0,0,0,0.00063182668343472,0.00063182668343472,0.00063182668343472,-0.000698694886317536,-0.000698694886317536,-0.000698694886317536,0,0,0,48967.2172487212,50530.9061167657,49724.9430043244,49724.9430043244,49721.6179867473
2013-09-12,49741.0094341789,0,0,0,0,0,0,0,0,0,0.00024767662884657,0.00024767662884657,0.00024767662884657,0,0,0,0.000625486503720394,0.000625486503720394,0.000625486503720394,-0.000377809874873824,-0.000377809874873824,-0.000377809874873824,0,0,0,48954.1977435659,50600.1041342923,49741.0094341789,49741.0094341789,49753.329119711
2013-09-13,49757.0758640335,0,0,0,0,0,0,0,0,0,-0.000932278692443774,-0.000932278692443774,-0.000932278692443774,0,0,0,-0.000871513485837752,-0.000871513485837752,-0.000871513485837752,-6.07652066060223e-05,-6.07652066060223e-05,-6.07652066060223e-05,0,0,0,48904.5362225166,50504.8464576857,49757.0758640335,49757.0758640335,49710.6884024071
2013-09-14,49773.142293888,0,0,0,0,0,0,0,0,0,-0.00127625613157268,-0.00127625613157268,-0.00127625613157268,0,0,0,-0.00152884732614187,-0.00152884732614187,-0.00152884732614187,0.000252591194569192,0.000252591194569192,0.000252591194569192,0,0,0,48976.3860832816,50496.0786845895,49773.142293888,49773.142293888,49709.6190158478
2013-09-15,49789.2087237425,0,0,0,0,0,0,0,0,0,0.000789161782485172,0.000789161782485172,0.000789161782485172,0,0,0,0.000226826226658657,0.000226826226658657,0.000226826226658657,0.000562335555826515,0.000562335555826515,0.000562335555826515,0,0,0,49059.4992929035,50609.3077420926,49789.2087237425,49789.2087237425,49828.5004644474
2013-09-16,49805.275153597,0,0,0,0,0,0,0,0,0,0.00164494518118267,0.00164494518118267,0.00164494518118267,0,0,0,0.00077648856227814,0.00077648856227814,0.00077648856227814,0.000868456618904535,0.000868456618904535,0.000868456618904535,0,0,0,49102.8947259458,50672.2451754996,49805.275153597,49805.275153597,49887.2021009584
2013-09-17,49821.3415834515,0,0,0,0,0,0,0,0,0,0.00131058077421155,0.00131058077421155,0.00131058077421155,0,0,0,0.000139732835891361,0.000139732835891361,0.000139732835891361,0.00117084793832019,0.00117084793832019,0.00117084793832019,0,0,0,49139.8123064238,50693.9282470701,49821.3415834515,49821.3415834515,49886.6364758762
